,Headlines,Day,Month,Date,Year,No. Comments,Author,Classification
36,Alibaba and Foxconn the latest to charge into the electric vehicle world,Wed,Jan,13,2021,146,SA News,neg
37,Tesla launches its Indian unit in Bengaluru; names three directors,Wed,Jan,13,2021,161,SA News,pos
38,Mistaken Identity company Signal Advance plunges after spike in last few days,Tue,Jan,12,2021,56,SA News,neu
39,"Tesla pulled an Apple move in self-driving, leaving Apple Car 'way behind' - ARK Investment",Tue,Jan,12,2021,345,SA News,pos
40,Mistaken identity sends microcap Signal Advance Inc. soaring,Mon,Jan,11,2021,98,SA News,neu
41,Tesla lands higher targets from Bank of America,Mon,Jan,11,2021,111,SA News,pos
42,ARK Investment’s Wood will talk markets in big week for biotech: Sector Watch,Sun,Jan,10,2021,113,SA News,neu
43,How many stimulus checks ended up in the stock market?,Sun,Jan,10,2021,331,SA News,neu
44,Tesla jumps another 5% as Blue Sweep adds to confidence,Fri,Jan,8,2021,386,SA News,pos
45,Lemonade jumps 19% after Motley Fool pitches stock again,Thu,Jan,7,2021,151,SA News,neu
46,Electric vehicle stocks race higher after election wildcards finally settled,Thu,Jan,7,2021,141,SA News,pos
47,Apple Car not expected to lead to Blackberry-like flameout for Tesla,Thu,Jan,7,2021,143,SA News,pos
48,"Big Tech stocks stumble, electric vehicle stocks gain as Georgia election digested",Wed,Jan,6,2021,227,SA News,pos
49,Tesla nabs Street-high $810 PT at Morgan Stanley after strong Q4 deliveries,Tue,Jan,5,2021,363,SA News,pos
50,Electric truck startup Rivian raises more funds,Tue,Jan,5,2021,79,SA News,neu
51,"Bill Gross sees SPACs, growth stocks struggling in 2021, likes natgas pipelines",Tue,Jan,5,2021,70,SA News,neg
52,Tesla seen by Exane shedding 50% in tech titan reckoning,Tue,Jan,5,2021,201,SA News,neg
53,"Byron Wien's ""10 Surprises also rans"" include TSLA buying a major auto company",Mon,Jan,4,2021,133,SA News,neu
54,Tesla preps for splashy launch in Israel,Mon,Jan,4,2021,66,SA News,pos
55,Electric vehicle stocks rally after strong demand reports from China,Mon,Jan,4,2021,49,SA News,pos
56,"Chinese EV ends 2020 on record high deliveries, expects 1.8M units sales in 2021",Mon,Jan,4,2021,58,SA News,pos
57,Tesla races to new high after hitting Q4 and 2020 deliveries targets,Mon,Jan,4,2021,171,SA News,pos
58,"Tesla tops Q4 deliveries expectations, just shy of 500K for 2020",Sat,Jan,2,2021,1204,SA News,pos
59,"Tesla prices Model Y competitively in China, deliveries start this month",Fri,Jan,1,2021,382,SA News,pos
60,"Tesla leads list of 2020's biggest winners on both S&P 500, Nasdaq 100",Thu,Dec,31,2020,164,SA News,pos
61,Tesla aiming at $700 to close out 2020 after taking shorts for $38B: At the Open,Thu,Dec,31,2020,300,SA News,neu
62,The same stocks keep making the year's winners and losers list,Wed,Dec,30,2020,62,SA News,neu
63,Spotify catches price target boost with shares in solid technical territory: At the Open,Wed,Dec,30,2020,4,SA News,neu
64,"Tesla could hit 500K deliveries in 2020, 1M by 2022, analyst says",Wed,Dec,30,2020,350,SA News,pos
65,China's Yahua to supply lithium to Tesla in five-year deal,Tue,Dec,29,2020,48,SA News,pos
66,"Tesla working to add Apple, Amazon Music to in-car system - electrek",Mon,Dec,28,2020,75,SA News,pos
67,"Vehicle sales continue to rebound in December, TrueCar says",Mon,Dec,28,2020,130,SA News,pos
68,Gigafactory 6? Tesla sets sights on India,Mon,Dec,28,2020,202,SA News,pos
69,Tesla’s choppy action unlikely to calm like other S&P entrants: Alpha Tactics,Sat,Dec,26,2020,91,SA News,neg
70,Apple Car developments could kickstart big auto-tech partnerships in 2021,Sat,Dec,26,2020,262,SA News,neu
71,"Space investing could be a major theme in 2021 with Voyage Space, SpaceX looking at IPOs",Thu,Dec,24,2020,167,SA News,pos
72,"Apple seen partnering in electric vehicles with Tesla, Volkswagen or Nio",Wed,Dec,23,2020,342,SA News,pos
73,Elon Musk says Apple wouldn't take meeting on Tesla acquisition,Tue,Dec,22,2020,448,SA News,neg
74,Tesla shares down 8.5% since S&P inclusion,Tue,Dec,22,2020,87,SA News,neg
75,Tesla still the clear leader in electric vehicle performance - Ark Invest,Tue,Dec,22,2020,155,SA News,pos
76,Apple analysts question plans for low-margin self-driving vehicle,Tue,Dec,22,2020,149,SA News,
77,European Union market for commercial vehicles +0.1% in November,Tue,Dec,22,2020,6,SA News,
78,Tesla expected to navigate around iCar threat,Mon,Dec,21,2020,193,SA News,
79,Apple said to be pushing ahead on self-driving car in challenge to Tesla,Mon,Dec,21,2020,647,SA News,
80,Tesla trades lower into big S&P 500 Index debut,Mon,Dec,21,2020,154,SA News,
81,Tesla’s S&P arrival means further split for consumer discretionaries: Sector Watch,Sun,Dec,20,2020,43,SA News,
82,Tesla chief Elon Musk has some fun with Bitcoiners,Sun,Dec,20,2020,372,SA News,
83,Global auto sales momentum will pick up in 2021: IHS Markit,Fri,Dec,18,2020,36,SA News,
84,Tesla stock hits all-time high on last trading day before S&P 500 call-up,Fri,Dec,18,2020,163,SA News,
85,Big swings expected as Tesla heads into S&P 500,Fri,Dec,18,2020,108,SA News,
86,Tesla cruises toward investment grade rating at S&P,Thu,Dec,17,2020,150,SA News,
87,Tesla and Toyota among automakers to meet braking safety commitment,Thu,Dec,17,2020,80,SA News,
88,Tesla announces extended production shutdown for Model S and X,Sun,Dec,13,2020,419,SA News,
89,Tesla to trek to Indonesia in nickel hunt,Sat,Dec,12,2020,100,SA News,
90,"CFRA names winners, losers in top 10 predictions for auto market in 2021",Fri,Dec,11,2020,5,SA News,
91,Tesla shares downgraded to Hold at Jefferies despite 'messianic brand' positioning,Fri,Dec,11,2020,123,SA News,
92,China's Auto sales saw double-digit growth in November led by EV sales,Fri,Dec,11,2020,79,SA News,
93,"NIO readies equity offering, joins other EVs in raising funds",Thu,Dec,10,2020,202,SA News,
94,Steel Dynamics pops on rumors of Cybertruck supply deal,Thu,Dec,10,2020,27,SA News,
95,"Tesla expected to double GM's capex, R&D spending as it taps its 'war chest'",Thu,Dec,10,2020,166,SA News,
96,China expected to see eye-popping electric vehicle demand in the next two years,Thu,Dec,10,2020,184,SA News,
97,"Tesla stock correction would be no surprise, but shares aren't historically overbought",Wed,Dec,9,2020,196,SA News,
98,JPMorgan doubles down on bearish Tesla thesis,Wed,Dec,9,2020,602,SA News,
99,XPeng prices upsized $2.2B offering at $45/ADS; shares -3%,Wed,Dec,9,2020,16,SA News,
100,Musk keeps operations in California despite move to Texas,Wed,Dec,9,2020,225,SA News,
101,Momentum revs back up in Chinese electric vehicle sector after strong sales report,Tue,Dec,8,2020,47,SA News,
102,Tesla capital raise called a smart move; shares fall 2%,Tue,Dec,8,2020,456,SA News,
103,Tesla announces up to $5B capital raise in ATM offering,Tue,Dec,8,2020,210,SA News,
104,Tesla cruises to new all-time high as bulls ratchet up expectations,Mon,Dec,7,2020,418,SA News,
105,Tesla's strategy could include ride-hail service before robotaxi launch,Sat,Dec,5,2020,352,SA News,
106,U.S. auto industry outlook for 2021 improves - Fitch,Thu,Dec,3,2020,50,SA News,
107,"Jim Chanos cuts 'painful' Tesla short, sticks with bear bet on IBM",Thu,Dec,3,2020,377,SA News,
108,Tesla +2.9% as Goldman upgrades to Buy on sales/margin outlook,Wed,Dec,2,2020,261,SA News,
109,Tesla open to talks on auto merger if it was a 'good idea',Tue,Dec,1,2020,308,SA News,
110,Elon Musk pushes Tesla employees to cut costs in 'Game of Pennies',Tue,Dec,1,2020,176,SA News,
111,Tesla gains as it heads for S&P 500 inclusion all at once,Tue,Dec,1,2020,32,SA News,
112,Tesla rallies after S&P decision on full float-adjusted market cap weight,Mon,Nov,30,2020,141,SA News,
113,Tesla wins approval to sell Model Y SUV in China,Mon,Nov,30,2020,148,SA News,
114,China is called the future Silicon Valley of the electric vehicle world,Sat,Nov,28,2020,455,SA News,
115,Volkswagen raises electric vehicle targets in Europe,Fri,Nov,27,2020,131,SA News,
116,U.S. agency to conduct inquiry into Tesla vehicles over suspension issue - Reuters,Fri,Nov,27,2020,54,SA News,
117,Tesla plans to manufacture electric car chargers in China,Wed,Nov,25,2020,146,SA News,
118,Electric vehicle sector is under pressure following dizzying rally,Wed,Nov,25,2020,172,SA News,
119,Failure of Brexit deal could cost UK car industry $74B by 2025,Wed,Nov,25,2020,96,SA News,
120,European Union market for commercial vehicles down 1.2% in October,Wed,Nov,25,2020,96,SA News,
121,Carbon Pricing: A weapon to tame CO2 emissions,Tue,Nov,24,2020,186,SA News,
122,Tesla blows past $500B cap as investors look to an EV future,Tue,Nov,24,2020,179,SA News,
123,"Elon Musk, Fuel Tech (FTEK) stock, FuelCell, Plug Power, CLNE and more: Green energy roundup",Tue,Nov,24,2020,51,SA News,
124,Tesla up more than 6% and almost adds a Ford to its market cap,Mon,Nov,23,2020,270,SA News,
125,"Electric vehicle names head higher led by Kandi (KNDI) stock, Ayro, and Li Auto",Mon,Nov,23,2020,126,SA News,
126,Tesla gains after Wedbush points to major inflection of global EV demand,Mon,Nov,23,2020,225,SA News,
127,Can the SPAC-tacular returns in the EV space ride on?,Sat,Nov,21,2020,158,SA News,
128,XPeng takes the lidar route with autonomous driving,Sat,Nov,21,2020,86,SA News,
129,Too far too fast? Tesla’s 20% surge this week sparks EV fever: Alpha Tactics,Sat,Nov,21,2020,177,SA News,
130,Consumer Reports warns on EV reliability in new report,Thu,Nov,19,2020,381,SA News,
131,"Biden's vote for climate change makes these stocks, ETFs attractive",Thu,Nov,19,2020,237,SA News,
132,Tesla higher after Morgan Stanley points to huge 'internet-of-cars' upside,Wed,Nov,18,2020,213,SA News,
133,Britain to ban the sale of new gasoline cars from 2030 to achieve net zero emissions by 2050,Wed,Nov,18,2020,290,SA News,
134,"Coatue Management buys Best Buy, exits Boeing; Tesla stakes increased, Sorrento stakes slashed",Tue,Nov,17,2020,15,SA News,
135,"Whale Rock Capital buys Alibaba, exits Alphabet, Apple; Tesla stakes increases, Microsoft slashed",Tue,Nov,17,2020,25,SA News,
136,EV stocks track higher after S&P 500 stamp on Tesla,Tue,Nov,17,2020,68,SA News,
137,Tesla backed by CFRA for more gains after S&P 500 inclusion,Tue,Nov,17,2020,97,SA News,
138,Tesla heads into 2021 with new tailwind after S&P 500 inclusion,Mon,Nov,16,2020,126,SA News,
139,"With Tesla taking a (sizable) space in S&P 500, who will get bumped?",Mon,Nov,16,2020,245,SA News,
140,Tesla joining S&P 500; shares jump 10% (updated),Mon,Nov,16,2020,219,SA News,
141,NHTSA upgrades safety probe into 159K Tesla vehicles,Mon,Nov,16,2020,36,SA News,
142,"Softbank exits stake in 24 companies, exits AMZN, GOOG, TSLA",Sun,Nov,15,2020,165,SA News,
143,"Shell Asset adds some gold stakes, Tesla, cuts Western Digital, buys StoneX",Fri,Nov,13,2020,14,SA News,
144,EV rally rages on while Tesla sits out a lap,Fri,Nov,13,2020,165,SA News,
145,BMW launches electric SUV iX to challenge Tesla,Wed,Nov,11,2020,230,SA News,
146,Electric vehicle industry seen benefiting under Biden,Wed,Nov,11,2020,81,SA News,
147,Honda looks to break away in self-driving race,Wed,Nov,11,2020,107,SA News,
148,China auto sales rise 12.5% in October as virus eases,Wed,Nov,11,2020,53,SA News,
149,"Tesla +2% as investors look past pandemic, election",Mon,Nov,9,2020,102,SA News,
150,Solar energy and EV stocks advance taking cues from Biden victory,Mon,Nov,9,2020,158,SA News,
151,EV stocks continue to soar under Tesla halo,Thu,Nov,5,2020,221,SA News,
152,Election 2020: EV stocks soar as presidential battle goes on,Wed,Nov,4,2020,30,SA News,
153,Auto stocks hit higher gear into the U.S. election,Tue,Nov,3,2020,24,SA News,
154,New Energy Vehicles to be 20% of China's total new car sales by 2025 - Reuters,Mon,Nov,2,2020,126,SA News,
155,EV names like Workhorse (WKHS) stock and NIO surge ahead of U.S. election,Mon,Nov,2,2020,70,SA News,
156,"Tesla called attractive by CFRA ahead of election, S&P 500 wildcard",Fri,Oct,30,2020,167,SA News,
157,"Sustainable energy, heavy infrastructure on the ballot Nov. 3",Thu,Oct,29,2020,280,SA News,
158,GM seen riding Hummer into the EV fast lane,Wed,Oct,28,2020,125,SA News,
159,Auto Industry recovery obvious with new and used vehicle retail sales improvement in October,Wed,Oct,28,2020,30,SA News,
160,Citi still negative on Tesla over inflated margin expectations,Tue,Oct,27,2020,113,SA News,
161,EV winners list from Morgan Stanley includes 16 new names,Mon,Oct,26,2020,111,SA News,
162,Tesla dips after setting capex spending expectations,Mon,Oct,26,2020,199,SA News,
163,Tesla disputes need to recall vehicles in China,Fri,Oct,23,2020,210,SA News,
164,Large percentage of older Tesla vehicles recalled in China,Fri,Oct,23,2020,280,SA News,
165,Tesla expected to raise more capital to fund hyperbolic growth,Thu,Oct,22,2020,342,SA News,
166,Tesla +5% as Wall Street plays catch-up with upgrades and PT boosts,Thu,Oct,22,2020,150,SA News,
167,"Tesla talks up self-driving capabilities, robotaxi and production ramp",Wed,Oct,21,2020,295,SA News,
168,"U.S. corporate downgrades drop in Q3, upgrades rise amid strong GDP",Wed,Oct,21,2020,295,SA News,
169,Tesla's Q3 beat: 500K deliveries target still in play,Wed,Oct,21,2020,242,SA News,
170,"Tesla EPS beats by $0.16, beats on revenue",Wed,Oct,21,2020,288,SA News,
171,"Hummer EV sport utility truck starts at $112,595",Wed,Oct,21,2020,336,SA News,
172,Tesla Q3 2020 Earnings Preview,Tue,Oct,20,2020,123,SA News,
173,New Jersey follows California's suit in banning gas car sales,Tue,Oct,20,2020,668,SA News,
174,Tesla registrations in California drop in Q3,Tue,Oct,20,2020,287,SA News,
175,Tesla tapped by Wedbush for Q3 earnings topper,Mon,Oct,19,2020,97,SA News,
176,Morgan Stanley hails Tesla's mobility service upside,Fri,Oct,16,2020,124,SA News,
177,EV stocks break lower with Q3 earnings on tap,Thu,Oct,15,2020,106,SA News,
178,Tesla responds to Lucid Air with another Model S price cut,Thu,Oct,15,2020,259,SA News,
179,Lucid Motors unveils cheaper version of upcoming EV sedan,Wed,Oct,14,2020,91,SA News,
180,Auto sales are down in the U.S. but pricing is heading higher,Wed,Oct,14,2020,117,SA News,
181,"'$2 trillion' is Tesla's correct market cap, Ron Baron says",Wed,Oct,14,2020,331,SA News,
182,Hiring time for Tesla in China as growth takes off,Wed,Oct,14,2020,70,SA News,
183,New Tesla Model X version said to have higher range,Tue,Oct,13,2020,125,SA News,
184,Don't fear an all-electric Ferrari - Morgan Stanley,Tue,Oct,13,2020,47,SA News,
185,Tesla drops prices on Model S,Tue,Oct,13,2020,550,SA News,
186,China's vehicle sales rose 12.8% in Golden September,Tue,Oct,13,2020,44,SA News,
187,Solar is the 'new king' of the power market - IEA,Tue,Oct,13,2020,380,SA News,
188,Tesla to launch full self driving beta test next week,Mon,Oct,12,2020,824,SA News,
189,Fundamentally speaking Tesla is still seen as pricey by Needham,Mon,Oct,12,2020,57,SA News,
190,Tesla wins Street-high $578 price target as New Street sees 'hyper growth',Wed,Oct,7,2020,323,SA News,
191,Tesla rallies as spotlight turns to 500K deliveries target,Wed,Oct,7,2020,123,SA News,
192,3D stocks pop after Tesla looks for 3D help,Wed,Oct,7,2020,66,SA News,
193,Tesla reacts quickly to employee sabotage incident,Wed,Oct,7,2020,103,SA News,
194,Tesla turns to BHP for nickel,Tue,Oct,6,2020,60,SA News,
195,Auto stocks gain as focus on China grows,Mon,Oct,5,2020,40,SA News,
196,Tesla's high market cap and margin pressure keep Needham in bear camp,Mon,Oct,5,2020,138,SA News,
197,"Vale in talks with Tesla, EV sector for Canada nickel - Reuters",Fri,Oct,2,2020,102,SA News,
198,Tesla Q3 profit beat now on the table - Wedbush,Fri,Oct,2,2020,216,SA News,
199,Tesla Q3 deliveries of 139.3K top expectations; shares remain lower,Fri,Oct,2,2020,466,SA News,
200,Tesla cuts Model 3 prices in China in highly-anticipated move,Thu,Oct,1,2020,304,SA News,
201,EVs still stand strong among best consumer stocks to own: Q3 Spotlight,Thu,Oct,1,2020,31,SA News,
202,Wedbush points to demand surge for Tesla in China,Wed,Sep,30,2020,177,SA News,
203,Investors' Covid trend expectations laid bare in Q3 analysis of top performers,Wed,Sep,30,2020,2,SA News,
204,Tesla rallies ahead of Q3 deliveries report,Wed,Sep,30,2020,116,SA News,
205,Tesla looks to make Models 3s in China with cobalt-free batteries,Wed,Sep,30,2020,150,SA News,
206,Walmart eyes using Tesla Semi trucks in Canada to lower costs,Tue,Sep,29,2020,267,SA News,
207,Auto ETFs may offer relatively cheap play on booming consumer,Tue,Sep,29,2020,267,SA News,
208,Tesla eyes mining lithium on its own,Tue,Sep,29,2020,273,SA News,
209,"Tesla stock may be a bit high, but will be worth more in five years - Musk",Tue,Sep,29,2020,263,SA News,
210,EPA chief rips California's plan to ban new gas-powered cars,Mon,Sep,28,2020,657,SA News,
211,Tesla said to be eying investment in LG Chem,Mon,Sep,28,2020,86,SA News,
212,U.S. auto market share winners and losers,Mon,Sep,28,2020,121,SA News,
213,Piedmont Lithium sky-high on sales agreement with Tesla,Mon,Sep,28,2020,70,SA News,
214,U.S. auto sales to rise in September amid demand recovery,Fri,Sep,25,2020,43,SA News,
215,CBAK Energy leads big moves in EV space,Fri,Sep,25,2020,25,SA News,
216,"Amazon debuts spherical new $99 Echo, security drone, game streaming service",Thu,Sep,24,2020,83,SA News,
217,Take the over on EVs - Morgan Stanley,Thu,Sep,24,2020,265,SA News,
218,California to ban new gasoline car sales by 2035,Wed,Sep,23,2020,2488,SA News,
219,"Tesla -8% as network outage, Battery Day reveals and tariff lawsuit digested",Wed,Sep,23,2020,123,SA News,
220,Tesla said to be experiencing 'complete network' outage,Wed,Sep,23,2020,254,SA News,
221,Tesla files lawsuit over China tariffs,Wed,Sep,23,2020,119,SA News,
222,Tesla -5% as Wall Street reactions to Battery Day start to pour in,Wed,Sep,23,2020,451,SA News,
223,"Tesla Battery Day: Promises for battery breakthroughs, $25K EV",Tue,Sep,22,2020,1020,SA News,
224,"Tesla Battery Day event on tap: Discuss, debate, dissect",Tue,Sep,22,2020,241,SA News,
225,WM Motor lands new investments as it rushes into crowded China EV market,Tue,Sep,22,2020,23,SA News,
226,Elon Musk sets expectations for Tesla's Battery Day Event,Mon,Sep,21,2020,265,SA News,
227,Michigan looks to slam the door tight on direct sales,Mon,Sep,21,2020,182,SA News,
228,Tesla eyes starting up in India with R&D center,Mon,Sep,21,2020,38,SA News,
229,Musk rallies the troops with 'shot at record quarter',Mon,Sep,21,2020,424,SA News,
230,"Tesla Energy to become $200B revenue business, Piper analyst predicts",Fri,Sep,18,2020,460,SA News,
231,Seeking Alpha Catalyst Watch,Fri,Sep,18,2020,7,SA News,
232,Ford aims for electric F-150 to be the blue collar winner,Thu,Sep,17,2020,542,SA News,
233,"Retail investors had 'de minimis' impact on latest rally, BMO's Belski says",Wed,Sep,16,2020,47,SA News,
234,Tesla slips after GM ramps up EV plans,Wed,Sep,16,2020,175,SA News,
235,A routine Nasdaq bounce? Small caps tell a different story,Mon,Sep,14,2020,2,SA News,
236,Tesla rallies as Battery Day approaches,Mon,Sep,14,2020,323,SA News,
237,"Evercore picks automakers, suppliers to gain from early valuation roll",Fri,Sep,11,2020,3,SA News,
238,Tesla in talks to buy low carbon nickel from Canada's Giga Metals - Reuters,Fri,Sep,11,2020,79,SA News,
239,UBS doubles its price target on Tesla ahead of Battery Day event,Fri,Sep,11,2020,229,SA News,
240,Tesla's profitability streak and S&P 500 inclusion threatened by Musk's bonus expense,Fri,Sep,11,2020,296,SA News,
241,"Oppenheimer weighs prospects of Biden victory for industrial, resource names",Thu,Sep,10,2020,22,SA News,
242,Tesla +5% as investors eye progress in Berlin and Austin,Thu,Sep,10,2020,330,SA News,
243,Tesla and Chinese EV stocks break higher again,Wed,Sep,9,2020,90,SA News,
244,"Tesla sees biggest one-day percentage loss, off 21%",Tue,Sep,8,2020,519,SA News,
245,Tesla blows off three weeks of gains with 17% drop,Tue,Sep,8,2020,307,SA News,
246,Tesla -12% after S&P 500 snub sends shockwaves,Tue,Sep,8,2020,377,SA News,
247,"China's auto sales to grow slightly in next five years, industry body predicts",Mon,Sep,7,2020,78,SA News,
248,Tesla -4.3% as S&P 500 rebalance skips automaker,Fri,Sep,4,2020,1316,SA News,
249,Tesla cruises into correction territory,Fri,Sep,4,2020,238,SA News,
250,Tesla falls -7% as selling pressure extends for a second day,Thu,Sep,3,2020,352,SA News,
251,Tesla cools off finally while Bank of America cracks the code on the huge rally,Wed,Sep,2,2020,242,SA News,
252,Baillie Gifford lowers stake in Tesla due to concentration rule,Wed,Sep,2,2020,97,SA News,
253,Tesla is raising money. So how will shares perform if history is a guide?,Tue,Sep,1,2020,18,SA News,
254,Loeb's pivot to growth tech stocks pays off in August; Einhorn fund barely rises,Tue,Sep,1,2020,40,SA News,
255,"History says Apple, Tesla momentum can become even more extraordinary",Tue,Sep,1,2020,209,SA News,
256,Tesla capital raise called a smart move,Tue,Sep,1,2020,438,SA News,
257,Tesla raising capital with at-the-market agreement for up to $5B in shares,Tue,Sep,1,2020,443,SA News,
258,Stock split mania continues for Tesla and Apple investors,Tue,Sep,1,2020,173,SA News,
259,Are price targets now passé?,Mon,Aug,31,2020,126,SA News,
260,"Apple, Tesla moves validate early split optimism as combined market caps swell by $100B",Mon,Aug,31,2020,364,SA News,
261,"Tech, consumer stocks on track to drive best August Dow, S&P return in decades",Sun,Aug,30,2020,70,SA News,
262,How should you trade the Apple and Tesla stock splits?,Sun,Aug,30,2020,573,SA News,
263,Overlooked bond market stars may be winners in new Fed policy,Thu,Aug,27,2020,3,SA News,
264,Chinese EV upstart Xpeng raises US IPO size to $1.5B,Thu,Aug,27,2020,98,SA News,
265,Chinese EV stocks gain as Tesla halo spreads,Wed,Aug,26,2020,77,SA News,
266,Tesla catches new Street-high price target from Jefferies,Wed,Aug,26,2020,211,SA News,
267,Elon Musk teases big battery breakthrough,Tue,Aug,25,2020,744,SA News,
268,One bastion of safety may offer little solace as strategist sounds alarm for 'correction',Mon,Aug,24,2020,744,SA News,
269,Tesla +3% after Wedbush talks up China potential again,Mon,Aug,24,2020,203,SA News,
270,Tesla valuation a splitting headache for peers,Fri,Aug,21,2020,631,SA News,
271,Xpeng Motors aims to bring in more than $1B with IPO,Fri,Aug,21,2020,28,SA News,
272,Global markets churn higher on vaccine hopes,Fri,Aug,21,2020,170,SA News,
273,"Tesla cracks $2,000 as momentum redlines",Thu,Aug,20,2020,791,SA News,
274,New high for Tesla as Main Street takes over for Wall Street,Tue,Aug,18,2020,348,SA News,
275,Kandi enters U.S. market with economy EV models,Tue,Aug,18,2020,131,SA News,
276,Tesla locks horns with Pinduoduo over discounted Model 3s,Mon,Aug,17,2020,129,SA News,
277,Tesla gains after catching price target boost from Wedbush,Mon,Aug,17,2020,394,SA News,
278,"Coatue buys Boeing, adds Disney, cuts Tesla, exits Snap",Sun,Aug,16,2020,77,SA News,
279,Appaloosa (David Tepper) adds new stakes in AT&T; trims Facebook position,Fri,Aug,14,2020,67,SA News,
280,Greenlight Capital picks up VanEck Vectors Gold Miners ETF shares,Fri,Aug,14,2020,41,SA News,
281,"Tesla +3% after bearish takes wadded up by BofA, Morgan Stanley",Fri,Aug,14,2020,223,SA News,
282,Tesla may be working on new car model made in China - report,Thu,Aug,13,2020,204,SA News,
283,GM comes in low with Cadillac Lyriq pricing,Thu,Aug,13,2020,284,SA News,
284,Bright lights on the EV sector after Tesla's stock split,Wed,Aug,12,2020,304,SA News,
285,Tesla +7% after firing off five-for-one split,Tue,Aug,11,2020,813,SA News,
286,Nikola talks disruption during appearance at JPMorgan auto conference,Tue,Aug,11,2020,169,SA News,
287,China auto industry comes roaring back with some help from EVs,Tue,Aug,11,2020,89,SA News,
288,Tesla -4% with South Korea considering EV incentive change,Mon,Aug,10,2020,118,SA News,
289,Hyundai Motor rallies on Ioniq EV plan,Mon,Aug,10,2020,67,SA News,
290,"Chinese luxury EV maker Xpeng files for an IPO, boosting prospects for Tesla competition",Mon,Aug,10,2020,22,SA News,
291,How will stocks perform under different U.S. election scenarios?,Sat,Aug,8,2020,2223,SA News,
292,White House targets WeChat; Here are some of Tencent's biggest investments,Fri,Aug,7,2020,232,SA News,
293,Sanders goes after pandemic wealth gains as Biden moves closer on taxes,Fri,Aug,7,2020,352,SA News,
